Desa,Dusun,Year,EngagementTotal,EngagementBinned,LossTotal5yr_inside,ForestTotal5yr_inside,PercLossAnnual_inside,LossTotal5yr_outside,ForestTotal5yr_outside,PercLossAnnual_outside,Slope,Elevation,Aspect,DistanceRoad,DistanceRiver,DistanceEdge,Population_desa
pampang harapan,segua,2017,3,1low,686,15162,9.05E-01,1419,7559,3.754464876,10.35463636,77.76666046,154.8125582,1654.073626,2399.673614,821.5638595,1276
pangkalan buton,air pauh,2006,0,2medium,16,4613,6.94E-02,41,3959,0.207123011,20.22534602,302.9493945,233.2694637,1209.030168,3312.339225,609.5024409,3693
pangkalan buton,air pauh,2012,1954,2medium,12,4597,5.22E-02,57,3918,0.290964778,20.22534602,302.9493945,233.2694637,1209.030168,3312.339225,609.5024409,3693
pangkalan buton,air pauh,2017,6507,2medium,13,4585,5.67E-02,64,3861,0.331520332,20.22534602,302.9493945,233.2694637,1209.030168,3312.339225,609.5024409,3693
pangkalan buton,simpang empat,2006,0,3high,23,1397,3.29E-01,96,2697,0.711902113,22.03890785,214.116041,267.1112628,756.3806227,2194.861778,453.6283117,3693
pangkalan buton,simpang empat,2012,3691,3high,0,1374,0.00E+00,112,2596,0.862865948,22.03890785,214.116041,267.1112628,756.3806227,2194.861778,453.6283117,3693
pangkalan buton,simpang empat,2017,9560,3high,4,1374,5.82E-02,127,2484,1.022544283,22.03890785,214.116041,267.1112628,756.3806227,2194.861778,453.6283117,3693
pangkalan buton,tanah merah,2006,0,2medium,104,3496,5.95E-01,342,4785,1.429467085,19.04615385,141.8148448,227.8750337,904.1023727,3522.70504,471.7343403,5310
pangkalan buton,tanah merah,2012,1859,2medium,7,3392,4.13E-02,366,4409,1.660240417,19.04615385,141.8148448,227.8750337,904.1023727,3522.70504,471.7343403,5310
pangkalan buton,tanah merah,2017,5006,2medium,21,3385,1.24E-01,906,4043,4.48182043,19.04615385,141.8148448,227.8750337,904.1023727,3522.70504,471.7343403,5310
pangkalan buton,tanjung belimbing,2006,0,2medium,50,4224,2.37E-01,10,1949,0.102616727,16.32160356,148.2227171,158.9770601,592.6311024,2741.003876,510.0940453,3693
pangkalan buton,tanjung belimbing,2012,791,2medium,41,4174,1.96E-01,75,1939,0.773594636,16.32160356,148.2227171,158.9770601,592.6311024,2741.003876,510.0940453,3693
pangkalan buton,tanjung belimbing,2017,4773,2medium,72,4133,3.48E-01,62,1864,0.665236052,16.32160356,148.2227171,158.9770601,592.6311024,2741.003876,510.0940453,3693
pangkalan teluk,cali,2006,0,1low,192,27435,1.40E-01,3556,117667,0.604417551,4.577693734,54.56471144,173.6387505,6687.886664,1262.845157,1555.929394,3194
pangkalan teluk,cali,2012,232,1low,83,27241,6.09E-02,8399,113474,1.480339109,4.577693734,54.56471144,173.6387505,6687.886664,1262.845157,1555.929394,3194
pangkalan teluk,cali,2017,602,1low,189,27158,1.39E-01,6400,105075,1.218177492,4.577693734,54.56471144,173.6387505,6687.886664,1262.845157,1555.929394,3194
pangkalan teluk,pangkalan jihing,2006,0,3high,2865,53982,1.06E+00,2161,26247,1.646664381,3.922403617,45.2693083,169.8169866,3680.115789,1216.744541,1802.518622,3194
pangkalan teluk,pangkalan jihing,2012,3048,3high,1352,50441,5.36E-01,2409,23874,2.018094999,3.922403617,45.2693083,169.8169866,3680.115789,1216.744541,1802.518622,3194
pangkalan teluk,pangkalan jihing,2017,10304,3high,1135,49089,4.62E-01,6784,21465,6.320987654,3.922403617,45.2693083,169.8169866,3680.115789,1216.744541,1802.518622,3194
riam berasap,pangkal tapang,2006,0,3high,741,13270,1.12E+00,991,45900,0.431808279,9.152942936,78.078229,206.3069329,2383.042357,2230.137316,603.5428872,1908
